scenario,variant,seed,profile,level_changes,paired_reversals,all_zero_profiles,all_zero_selections
standard_websearch_proxy_80pct,netaware_default_off,29,netaware,22493,10905,0,0
standard_websearch_proxy_80pct,netaware_default_off,47,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_default_off,47,netaware,21333,10204,0,0
standard_websearch_proxy_80pct,netaware_equal,13,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_equal,13,netaware,25731,12205,0,0
standard_websearch_proxy_80pct,netaware_equal,29,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_equal,29,netaware,15036,7329,0,0
standard_websearch_proxy_80pct,netaware_equal,47,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_equal,47,netaware,18815,9176,0,0
standard_websearch_proxy_80pct,netaware_gentle,13,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_gentle,13,netaware,27201,13056,0,0
standard_websearch_proxy_80pct,netaware_gentle,29,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_gentle,29,netaware,19930,9906,0,0
standard_websearch_proxy_80pct,netaware_gentle,47,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_gentle,47,netaware,20376,10079,0,0
standard_websearch_proxy_80pct,netaware_goodcap,13,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_goodcap,13,netaware,29604,14394,0,0
standard_websearch_proxy_80pct,netaware_goodcap,29,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_goodcap,29,netaware,23102,11152,0,0
standard_websearch_proxy_80pct,netaware_goodcap,47,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_goodcap,47,netaware,21999,10793,0,0
standard_websearch_proxy_80pct,netaware_sharp,13,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_sharp,13,netaware,43258,20364,0,0
standard_websearch_proxy_80pct,netaware_sharp,29,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_sharp,29,netaware,32448,15325,0,0
standard_websearch_proxy_80pct,netaware_sharp,47,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_sharp,47,netaware,27866,13055,0,0
